permalink,year,title,venue,role,themes
/publication/2023-01-18-SG_Arctic,2023,High-Latitude Stratospheric Aerosol Injection to Preserve the Arctic,Earths Future,lead,SAI; SRM; Climate & Ecosystems Impacts
/publication/2023-11-02-SG_strat,2023,Injection strategy - a driver of atmospheric circulation and ozone response to stratospheric aerosol geoengineering,Atmospheric Chemistry and Physics,lead,"SAI; SRM; Atmospheric Chemistry & Dynamics; Climate Policy, Governance & Ethics"
/publication/2023-01-18-Volc_Pina,2023,Interactive stratospheric aerosol models response to different amounts and altitudes of SO2 injection during the 1991 Pinatubo eruption,Atmos. Chem. Phys.,lead,SAI; SRM; Volcanic Aerosols; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2023-10-04-Food,2023,Optimal climate intervention scenarios for crop production vary by nation,Nature Food,collab,"SAI; SRM; Climate & Ecosystems Impacts; Climate Policy, Governance & Ethics"
/publication/2023-10-08-bednarz-nonlinearities-sai,2023,Potential Non-Linearities in the High Latitude Circulation and Ozone Response to Stratospheric Aerosol Injection,Geophysical Research Letters,lead,"SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts; Modeling & Methods; Climate Policy, Governance & Ethics"
/publication/2023-07-21-Altitude,2023,Quantifying the Efficiency of Stratospheric Aerosol Geoengineering at Different Altitudes,Atmos. Chem. Phys.,lead,SAI; SRM
/publication/2023-03-20-Call,2023,"Solar radiation modification is risky, but so is rejecting it: a call for balanced research",Oxford Open Climate Change,collab,"SRM; Climate Policy, Governance & Ethics"
/publication/2023-11-14-SG_Antarctic,2023,Stratospheric Aerosol Injection Can Reduce Risks to Antarctic Ice Loss Depending on Injection Location and Amount,Journal of Geophysical Research: Atmosphere,lead,"SAI; SRM; Climate & Ecosystems Impacts; Climate Policy, Governance & Ethics"
/publication/2023-08-23-choices,2023,The Choice of Baseline Period Influences the Assessments of the Outcomes of Stratospheric Aerosol Injection,Earths Future,lead,SAI; SRM; Modeling & Methods
/publication/2023-05-05-GeoMIP,2023,"The scientific and community-building roles of the Geoengineering Model Intercomparison Project (GeoMIP) - past, present, and future",Atmos. Chem. Phys.,lead,SRM; Modeling & Methods
/publication/2022-11-08-ENSO,2022,A Review of El Nino Southern Oscillation Linkage to Strong Volcanic Eruptions and Post-Volcanic Winter Warming,Earth Systems and Environment,collab,Volcanic Aerosols; Atmospheric Chemistry & Dynamics
/publication/2022-09-15-SG_polar,2022,A subpolar-focused stratospheric aerosol injection deployment scenario,Environmental Research Communications,collab,"SAI; SRM; Climate Policy, Governance & Ethics"
/publication/2022-05-02-SG_COS,2022,An approach to sulfate geoengineering with surface emissions of carbonyl sulfide,Atmos. Chem. Phys.,lead,SAI; SRM
/publication/2022-03-02-SG_H2SO4,2022,An interactive stratospheric aerosol model intercomparison of solar geoengineering by stratospheric injection of SO2 or accumulation-mode sulfuric acid aerosols,Atmospheric Chemistry and Physics,collab,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2022-11-15-SG_ARISE,2022,Assessing Responses and Impacts of Solar climate intervention on the Earth system with stratospheric aerosol injection (ARISE-SAI): protocol and initial results from the first simulations,Geoscientific Model Development,lead,SAI; SRM
/publication/2022-04-19-SG_Hadley,2022,Changes in Hadley circulation and intertropical convergence zone under strategic stratospheric aerosol geoengineering,npj Climate and Atmospheric Science,collab,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2022-01-03-SG_modsec1,2022,Dependency of the impacts of geoengineering on the stratospheric sulfur injection strategy part 1: Intercomparison of modal and sectional aerosol module,Atmospheric Chemistry and Physics,collab,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2022-03-18-SG_GeoMIP,2022,Future Geoengineering Scenarios: Balancing Policy Relevance and Scientific Significance,Bulletin of the American Meteorological Society,lead,"SRM; Climate Policy, Governance & Ethics"
/publication/2022-01-24-SG_Space,2022,How large is the design space for stratospheric aerosol geoengineering?,Earth System Dynamics,collab,"SAI; SRM; Modeling & Methods; Climate Policy, Governance & Ethics"
/publication/2022-09-16-SG_SAM,2022,Impact of the Latitude of Stratospheric Aerosol Injection on the Southern Annular Mode,Geophysical Research Letters,lead,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2022-08-26-SG_extrems,2022,Indices of extremes: geographic patterns of change in extremes and associated vegetation impacts under climate intervention,Earth System Dynamics,collab,SAI; SRM; Climate & Ecosystems Impacts
/publication/2022-01-03-SG_MAM,2022,Limitations of assuming internal mixing between different aerosol species: a case study with sulfate geoengineering simulations,Atmos. Chem. Phys.,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts; Modeling & Methods
/publication/2022-08-08-SG_scenarios,2022,Scenarios for modeling solar radiation modification,Proceedings of the National Academy of Science,lead,"SRM; Climate Policy, Governance & Ethics"
/publication/2022-04-07-SG_Ozone,2022,Stratospheric ozone response to sulfate aerosol and solar dimming climate interventions based on the G6 Geoengineering Model Intercomparison Project (GeoMIP) simulations,Atmos. Chem. Phys.,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2022-07-04-SG_solar,2022,The Overlooked Role of the Stratosphere Under a Solar Constant Reduction,Geophysical Research Letters,lead,SRM
/publication/2022-03-06-SG_NAO,2022,The impact of stratospheric aerosol intervention on the North Atlantic and Quasi-Biennial Oscillations in the Geoengineering Model Intercomparison Project (GeoMIP) G6sulfur experiment,Atmospheric Chemistry and Physics Discussion,collab,SAI; SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2021-03-19-SG_G1,2021,Comparing different generations of idealized solar geoengineering simulations in the Geoengineering Model Intercomparison Project (GeoMIP),Atmospheric Chemistry and Physics,collab,SRM; Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2021-06-07-SG_QBO,2021,Differences in the quasi-biennial oscillation response to stratospheric aerosol modification depending on injection strategy and species,Atmospheric Chemistry and Physics,collab,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2021-05-23-CP_Moral_hazard,2021,From Moral Hazard to Risk-Response Feedback,Climate Risk Management,collab,"SRM; Climate Policy, Governance & Ethics"
/publication/2021-11-26-SG_Scenarios,2021,"From fAIrplay to climate wars: making climate change scenarios more dynamic, creative, and integrative",Ecology and Society,collab,"Climate Policy, Governance & Ethics"
/publication/2021-04-21-SG_Highlat,2021,High-Latitude Stratospheric Aerosol Geoengineering Can Be More Effective if Injection Is Limited to Spring,Geophysical Research Letters,collab,SAI; SRM; Climate & Ecosystems Impacts
/publication/2021-07-06-SG_GeoMIP,2021,Identifying the sources of uncertainty in climate model simulations of solar radiation modification with the G6sulfur and G6solar Geoengineering Model Intercomparison Project (GeoMIP) simulations,Atmos. Chem. Phys.,lead,SAI; SRM; Modeling & Methods
/publication/2021-02-10-SG_solar,2021,Is Turning Down the Sun a Good Proxy for Stratospheric Sulfate Geoengineering?,Journal of Geophysical Research: Atmospheres,lead,SAI; SRM
/publication/2021-04-05-SG_PNAS,2021,Potential ecological impacts of climate intervention by reflecting sunlight to cool Earth,Proceedings of the National Academy of Sciences,lead,SRM
/publication/2021-09-13-SG_ozone,2021,Sensitivity of total column ozone to stratospheric sulfur injection strategies,Geophysical Research Letter,collab,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2020-12-14-EX_preindustrial,2020,Detection of pre-industrial societies on exoplanets,International Journal of Astrobiology,collab,Astrobiology
/publication/2020-11-23-SG_metrics,2020,Expanding the design space of stratospheric aerosol geoengineering to include precipitation-based objectives and explore trade-offs,Earth System Dynamics,collab,"SAI; SRM; Modeling & Methods; Climate Policy, Governance & Ethics"
/publication/2020-08-26-SG_polar_strat,2020,Reduced poleward transport due to stratospheric heating under stratospheric aerosols geoengineering,Geophysical Research Letters,lead,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2020-06-09-SG_seasonal,2020,Seasonally Modulated Stratospheric Aerosol Geoengineering Alters the Climate Outcomes,Geophysical Research Letters,lead,SAI; SRM
/publication/2020-05-20-SG_deposition,2020,What goes up must come down: impacts of deposition in a sulfate geoengineering scenario,Environmental Research Letters,lead,"SAI; SRM; Climate & Ecosystems Impacts; Climate Policy, Governance & Ethics"
/publication/2019-08-12-CCMI_uv,2019,Clear sky ultraviolet radiation modelling using output from the Chemistry Climate Model Initiative,Atmospheric Chemistry and Physics,collab,"Atmospheric Chemistry & Dynamics; Climate Policy, Governance & Ethics"
/publication/2018-07-01-SG_seasonal,2019,Seasonal Injection Strategies for Stratospheric Aerosol Geoengineering,Geophysical Research Letters,lead,SAI; SRM; Climate & Ecosystems Impacts
/publication/2019-12-06-SG_highlat,2019,Stratospheric Sulfate Aerosol Geoengineering Could Alter the High-Latitude Seasonal Cycle,Geophysical Research Letters,collab,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2019-09-13-CCMI_nudging,2019,The effect of atmospheric nudging on the stratospheric residual circulation in chemistry-climate models,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2019-01-24-CCMI_mixing,2019,The influence of mixing on the stratospheric age of air changes in the 21st century,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2018-06-15-CCMI_returndates,2018,Estimates of ozone return dates from Chemistry-Climate Model Initiative simulations,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2018-05-25-CCMI_transport,2018,Large-scale tropospheric transport in the Chemistry-Climate Model Initiative (CCMI) simulations,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2018-01-29-CCMI_sensitivity,2018,Ozone sensitivity to varying greenhouse gases and ozone-depleting substances in CCMI-1 simulations,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2018-05-14-CCMI_mixing,2018,Quantifying the effect of mixing on the mean age of air in CCMVal-2 and CCMI-1 models,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics
/publication/2018-06-18-CCMI_temperature,2018,Revisiting the Mystery of Recent Stratospheric Temperature Trends,Geophysical Research Letters,collab,Modeling & Methods
/publication/2018-05-14-CCMI_bromine,2018,Stratospheric Injection of Brominated Very Short-Lived Substances: Aircraft Observations in the Western Pacific and Representation in Global Models,Journal of Geophysical Research: Atmosphere,collab,SAI; SRM; Modeling & Methods
/publication/2018-01-15-CCMI_vortex,2018,Stratospheric ozone loss over the Eurasian continent induced by the polar vortex shift,Nature Communications,collab,Atmospheric Chemistry & Dynamics
/publication/2018-02-27-SG_deposition,2018,Sulfur deposition changes under sulfate geoengineering conditions: quasi-biennial oscillation effects on the transport and lifetime of stratospheric aerosols,Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts
/publication/2018-11-13-CCMI_tropogauss,2018,Tropospheric ozone in CCMI models and Gaussian process emulation to understand biases in the SOCOLv3 chemistry-climate model,Atmospheric Chemistry and Physics,collab,Atmospheric Chemistry & Dynamics; Modeling & Methods
/publication/2018-10-17-SG_ice,2018,Upper tropospheric ice sensitivity to sulfate geoengineering,Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2017-10-4-CCMI_OH,2017,Deriving Global OH Abundance and Atmospheric Lifetimes for Long-Lived Gases: A Search for CH3CCl3 Alternatives,Journal of Geophysical Research: Atmosphere,collab,Modeling & Methods
/publication/2017-09-21-SG_methane,2017,Sulfate geoengineering impact on methane transport and lifetime: results from the Geoengineering Model Intercomparison Project (GeoMIP),Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics; Climate & Ecosystems Impacts; Modeling & Methods
/publication/2017-03-21-SG_review,2017,Sulfate geoengineering: a review of the factors controlling the needed injection of sulfur dioxide,Atmospheric Chemistry and Physics,lead,SAI; SRM; Atmospheric Chemistry & Dynamics
/publication/2016-11-22-Volc_BDC,2016,Impact of Stratospheric Volcanic Aerosols on Age-of-Air and Transport of Long-Lived Species,Atmosphere,collab,Volcanic Aerosols; Atmospheric Chemistry & Dynamics
/publication/2016-5-26-Volc_QBO,2016,Stratospheric Aerosols from Major Volcanic Eruptions: A Composition-Climate Model Study of the Aerosol Cloud Dispersal and e-folding Time,Atmosphere,collab,SAI; SRM; Volcanic Aerosols; Atmospheric Chemistry & Dynamics
/publication/2016-6-23-Volc_noexp,2016,Sulfate Aerosols from Non-Explosive Volcanoes: Chemical-Radiative Effects in the Troposphere and Lower Stratosphere,Atmosphere,collab,SAI; SRM; Volcanic Aerosols
